Year,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Asylum_ukr,Refugees,Asylum_Seekers,Country_of_Asylum_UN_Code
2018,Argentina,ARG,Аргентина,106,125,032
2018,Armenia,ARM,Вірменія,115,5,051
2018,Australia,AUS,Австралія,22,87,036
2018,Croatia,HRV,Хорватія,8,5,191
2018,Cyprus,CYP,Кіпр,30,120,196
2018,Czechia,CZE,Чехія,318,241,203
2018,Denmark,DNK,Данія,27,46,208
2018,Ecuador,ECU,Еквадор,14,0,218
2018,Estonia,EST,Естонія,64,9,233
2018,Finland,FIN,Фінляндія,8,38,246
2018,France,FRA,Франція,1715,703,250
2018,Georgia,GEO,Грузія,617,10,268
2018,Brazil,BRA,Бразилія,14,65,076
2018,Belgium,BEL,Бельгія,166,185,056
2018,Belarus,BLR,Білорусь,1804,133,112
2018,Azerbaijan,AZE,Азербайджан,5,0,031
2018,Iceland,ISL,Ісландія,17,24,352
2018,India,IND,Індія,0,7,356
2018,Ireland,IRL,Ірландія,78,53,372
2018,Israel,ISR,Ізраїль,0,7857,376
2018,Italy,ITA,Італія,5861,4164,380
2018,Jordan,JOR,Йорданія,0,18,400
2018,Kuwait,KWT,Кувейт,0,5,414
2018,Kyrgyzstan,KGZ,Киргизстан,19,6,417
2018,Lebanon,LBN,Ліван,0,5,422
2018,Bulgaria,BGR,Болгарія,0,40,100
2018,Canada,CAN,Канада,1319,298,124
2018,Costa Rica,CRI,Коста-Рика,17,0,188
2018,United Kingdom of Great Britain and Northern Ireland,GBR,Сполучене Королівство Великої Британії та Північної Ірландії,144,178,826
2018,Switzerland,CHE,Швейцарія,56,0,756
2018,Sweden,SWE,Швеція,215,445,752
2018,Malta,MLT,Мальта,136,43,470
2018,Panama,PAN,Панама,0,5,591
2018,Peru,PER,Перу,16,0,604
2018,Poland,POL,Польща,464,309,616
2018,Portugal,PRT,Португалія,423,15,620
2018,Rep. of Korea,KOR,Республіка Корея,14,59,410
2018,Rep. of Moldova,MDA,Республіка Молдова,58,10,498
2018,Romania,ROU,Румунія,28,7,642
2018,Russian Federation,RUS,Російська Федерація,75146,795,643
2018,Serbia and Kosovo: S/RES/1244 (1999),SRB,Сербія та Косово: S/RES/1244 (1999),15,0,688
2018,Slovakia,SVK,Словаччина,23,0,703
2018,Slovenia,SVN,Словенія,5,0,705
2018,Spain,ESP,Іспанія,562,4300,724
2018,Norway,NOR,Норвегія,10,14,578
2018,Netherlands (Kingdom of the),NLD,Нідерланди (Королівство),23,31,528
2018,Mexico,MEX,Мексика,18,5,484
2018,Mauritania,MRT,Мавританія,5,0,478
2018,United States of America,USA,Сполучені Штати Америки,2270,7661,840
2018,Uruguay,URY,Уругвай,11,0,858
2018,Liechtenstein,LIE,Ліхтенштейн,5,9,438
