Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote_ukr
2025,Canada, ,CAN,GLOBAL,REF,"Цифри натуралізації стосуються допуску осіб, які перебувають під захистом, як постійних жителів Канади. Середньорічна кількість стосується осіб, які перебувають під захистом, які ще не набули статусу постійного резидента. Оновлені дані щодо кількості українців у рамках канадсько-української програми дозволу на екстрені поїздки (CUAET) призвели до збільшення на 158 600 осіб у порівнянні з раніше зареєстрованою цифрою людей у ​​ситуації, подібній до біженців, до 242 100."
2022,Ukraine, ,UKR,GLOBAL,STA,"Цифри, надані в Україні, є екстраполяцією перепису 2001 року осіб, які заявили, що не мають громадянства. До нього входять 6176 осіб, які перебувають на обліку МВС України як особи без громадянства."
2022,Ukraine, ,UKR,GLOBAL,"REF,ASY,IDP,STA,OOC,HST,OIP","УВКБ ООН продовжує повідомляти про 2 534 біженців і 36 241 особу без громадянства, поки не буде встановлено їхній статус і місцезнаходження. Для шукачів притулку дані на кінець року також враховують тих, хто підтвердив свій спонтанний виїзд до УВКБ ООН з лютого 2022 року. Інші дані, що викликають занепокоєння, на кінець 2022 року відповідають кількості постраждалих від конфлікту непереміщених осіб, яким УВКБ ООН допомогло протягом року."
2019,Ukraine, ,UKR,GLOBAL,OOC,"Кількість інших, що викликають занепокоєння, стосується осіб, які потребують особливого захисту та проживають на непідконтрольних уряду територіях або в межах 20 км від лінії зіткнення на підконтрольних уряду територіях."
2024,Bulgaria, ,BGR,GLOBAL,REF,"Офіційних даних про фактичну кількість біженців, які проживають у Болгарії, немає. Оцінка включає 74 300 українців, які отримали тимчасовий захист, та 34 400 інших біженців."
2025,Russian Federation, ,RUS,GLOBAL,REF,"У цифру по Російській Федерації входять 6121 українець, які отримали статус біженця або тимчасового притулку станом на березень 2025 року. Більше того, станом на середину 2023 року приблизно 1,2 мільйона українців були зареєстровані в Російській Федерації за різними правовими формами перебування (крім статусу біженця чи тимчасового притулку) і повідомлені УВКБ ООН як особи, що перебувають у ситуації, подібній до біженця. Однак ця цифра не оновлювалася з червня 2023 року, тому її більше не можна включати в офіційну статистику УВКБ ООН."
2019,Ukraine, ,UKR,GLOBAL,STA,"Цифри, надані в Україні, є екстраполяцією перепису 2001 року осіб, які заявили, що не мають громадянства. До нього входять 5642 особи, які перебувають на обліку МВС України як особи без громадянства."
2024,Montenegro, ,MNE,GLOBAL,REF,Були переглянуті оцінки кількості українців у ситуації біженців у Чорногорії.
2023, ,Ukraine,GLOBAL,UKR,OOC,"Інша цифра, що викликає занепокоєння, відповідає кількості постраждалих від конфлікту непереміщених осіб, яким УВКБ ООН допомогло протягом року."
2024, ,Ukraine,GLOBAL,UKR,OOC,"Інша цифра, що викликає занепокоєння, відповідає кількості постраждалих від конфлікту непереміщених осіб, яким УВКБ ООН допомогло протягом року."
