Year,Country_of_Asylum,Country_of_Origin,Country_of_Asylum_ISO,Country_of_Origin_ISO,Region,Refugees,Asylum_Seekers,IDPs,OIP,Stateless,HST,OOC
2018,Afghanistan,Afghanistan,AFG,AFG,Asia,0,0,2106893,0,0,0,489854
2018,Egypt,Afghanistan,EGY,AFG,Africa,20,23,0,0,0,0,0
2018,Argentina,Afghanistan,ARG,AFG,South America,5,8,0,0,0,0,0
2018,Armenia,Afghanistan,ARM,AFG,Asia,0,16,0,0,0,0,0
2018,Australia,Afghanistan,AUS,AFG,Oceania,11932,1600,0,0,0,0,0
2018,Austria,Afghanistan,AUT,AFG,Europe,33103,16093,0,0,0,0,0
2018,Azerbaijan,Afghanistan,AZE,AFG,Asia,636,100,0,0,0,0,0
2018,Belgium,Afghanistan,BEL,AFG,Europe,3201,2105,0,0,0,0,0
2018,Belarus,Afghanistan,BLR,AFG,Europe,208,31,0,0,0,0,0
2018,Brazil,Afghanistan,BRA,AFG,South America,121,178,0,0,0,0,0
2018,Bosnia and Herzegovina,Afghanistan,BIH,AFG,Europe,0,246,0,0,0,0,0
2018,Bulgaria,Afghanistan,BGR,AFG,Europe,205,584,0,0,0,0,0
2018,Canada,Afghanistan,CAN,AFG,North America,3603,769,0,0,0,0,0
2018,China,Afghanistan,CHN,AFG,Asia,9,23,0,0,0,0,0
2018,Chile,Afghanistan,CHL,AFG,South America,13,13,0,0,0,0,0
2018,Colombia,Afghanistan,COL,AFG,South America,9,0,0,0,0,0,0
2018,Cuba,Afghanistan,CUB,AFG,North America,42,0,0,0,0,0,0
2018,Cyprus,Afghanistan,CYP,AFG,Asia,14,5,0,0,0,0,0
2018,Czechia,Afghanistan,CZE,AFG,Europe,46,16,0,0,0,0,0
2018,Denmark,Afghanistan,DNK,AFG,Europe,2750,284,0,0,0,0,0
2018,Dominican Rep.,Afghanistan,DOM,AFG,North America,0,5,0,0,0,0,0
2018,Ecuador,Afghanistan,ECU,AFG,South America,141,9,0,0,0,0,0
2018,Estonia,Afghanistan,EST,AFG,Europe,8,0,0,0,0,0,0
2018,Fiji,Afghanistan,FJI,AFG,Oceania,0,7,0,0,0,0,0
2018,Finland,Afghanistan,FIN,AFG,Europe,2944,187,0,0,0,0,0
2018,France,Afghanistan,FRA,AFG,Europe,18534,8085,0,0,0,0,0
2018,United Kingdom of Great Britain and Northern Ireland,Afghanistan,GBR,AFG,Europe,9839,2438,0,0,0,0,0
2018,Georgia,Afghanistan,GEO,AFG,Asia,5,37,0,0,0,0,0
2018,Germany,Afghanistan,DEU,AFG,Europe,126018,65838,0,0,0,0,0
2018,Greece,Afghanistan,GRC,AFG,Europe,9291,13533,0,0,0,0,0
2018,Croatia,Afghanistan,HRV,AFG,Europe,53,21,0,0,0,0,0
2018,Hungary,Afghanistan,HUN,AFG,Europe,1552,68,0,0,0,0,0
2018,Iceland,Afghanistan,ISL,AFG,Europe,58,29,0,0,0,0,0
2018,India,Afghanistan,IND,AFG,Asia,6984,7864,0,0,0,0,0
2018,Indonesia,Afghanistan,IDN,AFG,Asia,6098,1635,0,0,0,0,0
2018,Ireland,Afghanistan,IRL,AFG,Europe,289,148,0,0,0,0,0
2018,Iran (Islamic Rep. of),Afghanistan,IRN,AFG,Middle East,951142,0,0,0,0,0,0
2018,Iraq,Afghanistan,IRQ,AFG,Asia,12,66,0,0,0,0,0
2018,Italy,Afghanistan,ITA,AFG,Europe,16941,825,0,0,0,0,0
2018,Jordan,Afghanistan,JOR,AFG,Asia,8,10,0,0,0,0,0
2018,Japan,Afghanistan,JPN,AFG,Asia,55,0,0,0,0,0,0
2018,Kazakhstan,Afghanistan,KAZ,AFG,Asia,538,164,0,0,0,0,0
2018,Kenya,Afghanistan,KEN,AFG,Africa,8,10,0,0,0,0,0
2018,Kyrgyzstan,Afghanistan,KGZ,AFG,Asia,223,34,0,0,0,0,0
2018,Rep. of Korea,Afghanistan,KOR,AFG,Asia,38,31,0,0,0,0,0
2018,Libya,Afghanistan,LBY,AFG,Africa,0,11,0,0,0,0,0
2018,Lebanon,Afghanistan,LBN,AFG,Asia,17,6,0,0,0,0,0
2018,Liechtenstein,Afghanistan,LIE,AFG,Europe,5,0,0,0,0,0,0
2018,Sri Lanka,Afghanistan,LKA,AFG,Asia,146,34,0,0,0,0,0
2018,Lithuania,Afghanistan,LTU,AFG,Europe,222,20,0,0,0,0,0
2018,Luxembourg,Afghanistan,LUX,AFG,Europe,43,115,0,0,0,0,0
2018,Latvia,Afghanistan,LVA,AFG,Europe,67,0,0,0,0,0,0
2018,Madagascar,Afghanistan,MDG,AFG,Africa,5,0,0,0,0,0,0
