Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Footnote_ukr
2019 - 2022, , ,,,OIP,"Other people in need of international protection refers to people who are outside their country or territory of origin, typically because they have been forcibly displaced across international borders, who have not been reported under other categories (asylum-seekers, refugees, people in refugee-like situations) but who likely need international protection, including protection against forced return, as well as access to basic services on a temporary or longer-term basis.","Інші люди, які потребують міжнародного захисту, стосуються людей, які перебувають за межами своєї країни або території походження, як правило, через те, що вони були примусово переміщені через міжнародні кордони, які не були зареєстровані в інших категоріях (шукачі притулку, біженці, люди в ситуаціях, схожих на біженців), але які, ймовірно, потребують міжнародного захисту, включаючи захист від примусового повернення, а також доступу до основних послуг на тимчасовій або довгостроковій основі."
2025,Philippines, ,PHL,,STA,"The total statelessness figure reported includes 17 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State.","Повідомлена загальна кількість осіб без громадянства включає 17 осіб без громадянства етнічної приналежності рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, переважно зі штату Ракхайн."
2023,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.5 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.9 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.9 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.","Національний реєстр жертв Колумбії містить дані про кількість жертв переміщення, яка продовжує зростати, враховуючи, що жертви продовжують реєструватися в країні. Таким чином, загальна кількість осіб, визнаних жертвами переміщення (понад 8,5 мільйона), включає кількість ВПО, які підлягають догляду та/або відшкодуванню, тобто тих, хто відповідає вимогам доступу до заходів догляду та відшкодування, встановленим колумбійським Законом 1448 (6,9 мільйона). Кількість померлих жертв переміщення, безпосередніх жертв насильницького зникнення та вбивств, а також інших жертв, які з різних причин не мають ефективного доступу до цих заходів, визначено як такі, що не підлягають уваги чи відшкодуванню, і тому не включені до цифри 6,9 мільйонів. Цифра постійно оновлюється, враховуючи, що за юридичним визначенням жертви мають до двох років, щоб подати декларацію та бути внесеними до системи реєстру. Перегляньте резюме: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394."
2022,Thailand, ,THA,,STA,"The total statelessness figure includes 573,898 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of 2022. The figure includes 321 stateless persons of Rohingya ethnicity from Myanmar who are also counted as others of concern to UNHCR.","Загальна кількість осіб без громадянства включає 573 898 осіб без громадянства, про які повідомив королівський уряд Таїланду та зареєстровані в національній системі реєстрації актів цивільного стану до кінця 2022 року. Ця цифра включає 321 особу без громадянства етнічної приналежності до рохінджа з М’янми, які також вважаються іншими особами, якими займається УВКБ ООН."
2025,Iceland, ,ISL,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at midyear as reported by the Icelandic authorities; (b) the number of stateless refugees at mid-end with valid residence permits on the basis of international protection as reported by Icelandic authorities; and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Iceland corresponding to the resident population recorded as ""Stateless"" as of 1 January 2024 (no data is available yet for end-2024 or mid-2025), deducting the reported number of stateless refugees at mid-year.","Що стосується статистики осіб без громадянства, цифри включають: (a) кількість шукачів притулку без громадянства станом на середину року, як повідомляє ісландська влада; (b) кількість біженців без громадянства на середньому рівні з дійсними дозволами на проживання на основі міжнародного захисту, як повідомили органи влади Ісландії; та (c) кількість непереміщених осіб без громадянства (тих, хто має інші типи дозволів, не пов’язаних із захистом), на основі даних Статистичного управління Ісландії відповідно до постійного населення, зареєстрованого як «апатриди» станом на 1 січня 2024 року (на кінець 2024 або середину 2025 року ще немає даних), за вирахуванням повідомленої кількості біженців без громадянства на середину року."
2023,Jordan,Iraq,JOR,IRQ,REF,"The refugee population in Jordan includes 28,900 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.","Біженці в Йорданії включають 28 900 іракців, зареєстрованих УВКБ ООН. На кінець березня 2015 року уряд Йорданії оцінив чисельність іракців у 400 000 осіб. Це включає біженців та інші категорії іракців."
2021,Austria, ,AUT,,STA,In situ stateless figure is as of end-2020.,Кількість осіб без громадянства на місці є станом на кінець 2020 року.
2023 - 2024,Dem. Rep. of the Congo, ,COD,,IDP,"The IDP figure differs from those agreed and communicated by UN OCHA, given the exlusion of IDPs due to disasters, in line with UNHCR methodology.","Цифра внутрішньо переміщених осіб відрізняється від узгодженої та повідомленої УКГВ ООН, враховуючи виключення ВПО через катастрофи відповідно до методології УВКБ ООН."
2023,Malaysia, ,MYS,,STA,"The total stateless population in Malaysia includes 9,392 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR. The total statelessness figure reported also includes 107,678 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State.","Загальна кількість осіб без громадянства в Малайзії включає 9392 непереміщених осіб без громадянства, які можуть мати право на громадянство Малайзії відповідно до закону. Ця кількість непереміщених осіб без громадянства базується на програмі реєстрації та надання правової допомоги громаді, яку в Західній Малайзії проводить місцева НУО за технічної підтримки УВКБ ООН. Повідомлена загальна кількість осіб без громадянства також включає 107 678 осіб без громадянства етнічної приналежності рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, переважно зі штату Ракхайн."
2018,Poland, ,POL,,STA,"Figure is from the 2011 census, likely to include 2,020 persons registered as stateless by the authorities.","Цифра взята з перепису 2011 року, ймовірно, включатиме 2020 осіб, зареєстрованих органами влади як особи без громадянства."
2023,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 2,089 stateless persons who are also counted as refugees or asylum-seekers. There are also indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.","Зазначена загальна кількість осіб без громадянства стосується 2089 осіб без громадянства, які також вважаються біженцями або шукачами притулку. Також є ознаки того, що існує потенційно значна кількість непереміщених осіб без громадянства, щодо яких немає даних."
2023,Thailand, ,THA,,STA,"The total statelessness figure includes 586,548 stateless persons reported by the Royal Thai Government and registered with the national civil registration system by the end of 2023. The figure includes 584 stateless persons of Rohingya ethnicity from Myanmar who are also counted as refugees.","Загальна кількість осіб без громадянства включає 586 548 осіб без громадянства, про які повідомив Королівський уряд Таїланду та зареєстровані в національній системі реєстрації актів цивільного стану до кінця 2023 року. Ця цифра включає 584 особи без громадянства рохінджа з М’янми, які також вважаються біженцями."
2021 - 2022,Kenya, ,KEN,,STA,"The figure is based on an estimate of 18,500 in 2019 by UNHCR with input from stateless communities, taking account of the registration by the Government of Kenya in 2020 of 1,670 stateless persons of Shona descent. These individuals were granted Kenyan citizenship in 2021.","Ця цифра базується на оцінці УВКБ ООН у 18 500 у 2019 році за участю громад без громадянства, беручи до уваги реєстрацію урядом Кенії у 2020 році 1670 осіб без громадянства за походженням шона. Ці особи отримали громадянство Кенії у 2021 році."
